name,pca2_mean,pca2_std,pca2_entropy,pca2_ggd1,pca2_ggd2,pca2_aggd1,pca2_aggd2,pca2_aggd3,pca2_aggd4,pca2_gamma1,pca2_gamma2,omni_mean,omni_std,omni_entropy,omni_ggd1,omni_ggd2,omni_aggd1,omni_aggd2,omni_aggd3,omni_aggd4,omni_gamma1,omni_gamma2,egen_mean,egen_std,egen_entropy,egen_ggd1,egen_ggd2,egen_aggd1,egen_aggd2,egen_aggd3,egen_aggd4,egen_gamma1,egen_gamma2,vert_mean,vert_std,vert_entropy
Maxiliar100205_2.ply,0.5124819,0.070747346,3.3763712448843695,10.000000000000007,0.517272,1.5480000000000012,0.380677996689711,0.74747217,1.2411034,53.24476750263807,0.009625019304516428,57.115814,25.683939,3.157445289662831,10.000000000000007,62.548542,0.26300000000000007,0.8016451509654409,0.21633479,2.5541878,5.017988844203103,11.382213434408362,-900.4487178636634,1179.4657652096867,3.058573589250999,0.6310000000000004,1477.0869787866468,0.22200000000000003,-0.7767436407861272,2.881430908907854,0.160881146310229,0.5914083700011831,-1522.549837875751,0.52885,0.31049144,3.737010042436777
Maxiliar100205_0.ply,0.49966624,0.057523318,3.4896587975274183,10.000000000000007,0.5029446,1.4190000000000011,0.32430458699897,0.79505354,1.2215422,75.9586414949772,0.006578136092649958,24.305563,12.021488,2.8609276042121157,10.000000000000007,27.098211,0.2,0.5035057925209608,0.13515237,2.1421702,4.115285580793682,5.906167399328002,-327.57257076263426,824.7064449238017,2.2928496219689745,0.2850000000000001,884.822150460892,0.2,-1.7399964785599185,7.021728580909177,0.08595138667659448,0.15882588051347957,-2062.4634329342384,0.5219024,0.32925448,4.0728119394907045
Maxiliar100205_8.ply,0.6275728,0.065597996,6.952895223031628,10.000000000000007,0.6309917,2.5760000000000023,0.16867188492915572,0.8989068,1.1051408,91.52933946241683,0.006856519764623074,0.025389614,0.013104493,6.471847097945133,10.000000000000007,0.028571924,1.6820000000000013,0.39305471025165006,0.7600962,1.2636105,3.753920570029564,0.006763492426961484,0.5973351765719125,0.0636746645189771,6.74055567741499,10.000000000000007,0.6007192785531583,1.8930000000000013,-0.14619191328918396,1.0929868552211899,0.9085743742570755,88.00679003747129,0.0067873760231179974,0.5875029,0.2818771,7.521688123240758
Maxiliar100205_4.ply,0.52326727,0.075675815,3.0258033808276448,10.000000000000007,0.5285757,1.7600000000000013,0.31154784520642365,0.7789418,1.1755904,49.0375046942429,0.010670756848691983,103.38344,38.336952,2.871637103477065,10.000000000000007,110.095924,0.4230000000000002,0.834062866761879,0.32122317,1.9944724,7.4586836678727195,13.860815409074409,-1886.936806678772,1853.661698142422,2.9218313037436525,1.0640000000000007,2628.81925230327,0.2900000000000001,-0.6334678732635339,1.9289559345899985,0.24435561681698362,1.0627941215252326,-1775.4490436687768,0.49100208,0.33328953,3.3292246602398503
Maxiliar100205_22.ply,0.6064219,0.05722345,6.73110432210627,10.000000000000007,0.6091157,2.165000000000002,0.1894196378425711,0.8840091,1.11938,112.30807431417725,0.005399628531329919,0.01755572,0.009071267,6.210218851115606,10.000000000000007,0.019760806,1.2370000000000008,0.4259904412603775,0.7216974,1.2962129,3.7455069519896966,0.0046871410068881165,0.5253944935963007,0.05820538134114759,6.576243096074431,10.000000000000007,0.5286087092830712,1.5560000000000012,-0.12944037340821016,1.0833630404724113,0.9156482246204312,81.48057531334541,0.006448095040760571,0.5761303,0.27989575,7.542331963772804
Maxiliar100205_24.ply,0.60782063,0.05927452,6.763013837303888,10.000000000000007,0.61070395,2.0740000000000016,0.20015528884867,0.8769368,1.1267824,105.15358514007312,0.005780312669709738,0.01804123,0.010131627,6.1803888272138074,10.000000000000007,0.020691391,1.0420000000000007,0.4812316727468352,0.6735544,1.3473066,3.170905113810477,0.005689615398078434,0.5257046112390505,0.05863712655360137,6.547250060187349,10.000000000000007,0.5289646273770661,1.5440000000000011,-0.12276945155330916,1.0792502939946973,0.9199897440334295,80.37991521965586,0.006540248391684001,0.5812541,0.27400145,7.535263124735428
Maxiliar100205_32.ply,0.5629722,0.07705024,7.0563785841876365,10.000000000000007,0.56822026,2.362000000000002,0.14237089128390015,0.91362774,1.0890346,53.38696238212856,0.010545124591303042,0.1055663,0.03711171,6.5515410903564595,10.000000000000007,0.11189947,1.6370000000000011,0.3159067005940032,0.8031547,1.2094003,8.091668917095603,0.01304629609232388,0.7063995014096797,0.10856721381298266,7.100955492254954,10.000000000000007,0.7146935303094294,2.1090000000000018,0.0017775749602407151,0.9988825852369613,1.0010974632003216,42.336281858377816,0.016685440251288673,0.5335553,0.28580427,7.570279310138742
Maxiliar100205_12.ply,0.6578943,0.08060329,7.092728926660019,10.000000000000007,0.66281307,2.7050000000000023,0.1593074522167849,0.9050594,1.0990784,66.6274867244656,0.009874218202944906,0.113421075,0.066749185,6.67414227196256,10.000000000000007,0.13160287,1.7260000000000013,0.4229684838962601,0.74269474,1.282608,2.887635247657329,0.039278188253890456,0.521966236861582,0.2708352354671133,5.976793022072126,10.000000000000007,0.5880413222645684,1.1560000000000008,-0.6500672096838854,1.4890272327713958,0.6000099525903729,3.714677832140916,0.14051453731608055,0.58658516,0.28414997,7.429320383649452
Maxiliar100205_26.ply,0.60953546,0.06083529,6.69439579323219,10.000000000000007,0.6125637,2.0530000000000017,0.21000448753636045,0.8713194,1.1337516,100.39129313101967,0.006071596393910056,0.018058524,0.010315078,5.844139062439203,10.000000000000007,0.020796847,0.9940000000000007,0.4904123621579805,0.6626922,1.3572876,3.064987627974247,0.0058918744918796525,0.5261045413591431,0.05822028675593869,6.447137712355495,10.000000000000007,0.5293160845873723,1.5380000000000011,-0.11853083521262735,1.0764653364610097,0.9226106957526189,81.65913062338954,0.00644269094396226,0.58365333,0.2831657,7.534290699925593
Maxiliar100205_11.ply,0.6522747,0.07745968,7.01323479514825,10.000000000000007,0.65685755,2.6670000000000025,0.16204116779680053,0.9033102,1.1008786,70.91544957658334,0.009197920668744591,0.06945878,0.040581595,6.294744626839649,10.000000000000007,0.08044421,1.6560000000000012,0.4468545295588544,0.7294479,1.3031394,2.9297274061812004,0.023708275395256495,0.6618676414598988,0.09702514804564964,5.776000831016059,10.000000000000007,0.668940939069509,0.9490000000000007,-0.5453970591901052,1.4174697142286112,0.6357076585888396,46.537684854508434,0.014222186675789889,0.58484834,0.28038767,7.4726859257617635
